,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Paxten Aaronson\4cd41883,us USA,MFFW,Philadelphia,17,2003,6.6,3,11,9,81.8,1.66,1.35,0.27,0.33,16.8,0,0,0,1.3,1.3,0.12,+1.7,+1.7,Matches
2,Saad Abdul-Salaam\4705543b,us USA,DF,Columbus Crew,29,1991,10.3,0,3,1,33.3,0.29,0.1,0,0,35.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
3,Luciano Abecasis\6c510f2d,ar ARG,DF,San Jose,30,1990,13.7,0,8,2,25,0.58,0.15,0,0,19.2,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
4,Ramón Ábila\db5ee72d,ar ARG,FW,D.C. United,31,1989,2.5,3,10,6,60,4,2.4,0.3,0.5,9.6,0,0,0,1,1,0.1,+2.0,+2.0,Matches
5,Ramón Ábila\db5ee72d,ar ARG,FW,Minnesota Utd,31,1989,3,2,13,5,38.5,4.37,1.68,0.15,0.4,13.8,0,0,1,2.7,1.8,0.14,-0.7,+0.2,Matches
6,Lalas Abubakar\4a67f05b,gh GHA,DF,Colorado Rapids,26,1994,21.3,2,11,2,18.2,0.52,0.09,0.18,1,7.8,0,0,0,0.8,0.8,0.07,+1.2,+1.2,Matches
7,Nicolás Acevedo\6140be7b,uy URU,MF,NYCFC,21,1999,15,0,12,2,16.7,0.8,0.13,0,0,24.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
8,Ifunanyachi Achara\d31bf83e,us USA,FWMF,Toronto FC,23,1997,9.1,2,18,8,44.4,1.97,0.88,0.11,0.25,14.3,0,0,0,3.1,3.1,0.17,-1.1,-1.1,Matches
9,Bryan Acosta\c5f400f4,hn HON,MF,FC Dallas,27,1993,17.5,0,34,7,20.6,1.94,0.4,0,0,27.4,6,0,0,1.2,1.2,0.03,-1.2,-1.2,Matches
