,Defensive passing,Dribbling,Defensive actions,Short passing,Playing time,Tackling,Attacking play,Passing volume,Progressive passing
Carles Gil,0.015992454616660122,0.2738519585678047,0.0,0.0,0.21106598530937998,0.0,0.10380415327888826,0.7092957947030174,0.6052476099977265
Julian Gressel,0.03306657460716858,0.04237022603648285,0.05404801904892148,0.0,0.1525367609513063,0.13284256074383344,0.14489470135259325,0.26817780124929175,0.9275568771114774
Emanuel Reynoso,0.0033436353264276702,0.39823421675860254,0.0,0.0,0.2815868123853836,0.3708662516711897,0.16357722729008214,0.7259262070001025,0.2661560667540755
Albert Rusnák,0.0244097369910912,0.13304074433800217,0.0,0.0,0.5490564449872231,0.0,0.3011562440622978,0.6088995223157813,0.4677474037233255
Maximiliano Moralez,0.012591501235768736,0.07617180334322174,0.0,0.0,0.2968919866424383,0.24499833019068734,0.31627901700746924,0.6935960786035066,0.5145506195603884
Luciano Acosta,0.0,0.30097266552788987,0.0,0.0,0.44088787088803394,0.3255496614666185,0.21199909426934685,0.6619074664860729,0.3549445698511086
Lucas Zelarayán,0.024392819986906338,0.42380506859140127,0.0,0.0,0.4109370135821569,0.17769621215132986,0.35661296648731544,0.5734572307162696,0.40413250042147747
Djordje Mihailovic,0.0153697836299299,0.2335482232488591,0.011150477478622939,0.0,0.48497287533881833,0.16192792038154163,0.26337407677909364,0.46353581034677266,0.6320157996552758
Brooks Lennon,0.014097499851758314,0.03958542525272028,0.10575686438942827,0.007237338017629539,0.4131365688778402,0.17949538125288958,0.048289738687431534,0.25117382705930014,0.8477480489396808
Álvaro Medrán,0.01644171231084981,0.17355502814589396,0.05103870388444205,0.03000124631723249,0.32072437180414004,0.37220612086401433,0.08346117509760355,0.8181443697746065,0.219944996775139
João Paulo Mior,0.02843992733834668,0.05308968031056171,0.06294939801990569,0.0,0.3343583535611378,0.49132666221857085,0.04057466485417048,0.7389266673616096,0.3025784342898939
Marcelino Moreno,0.0,0.3285842312642734,0.0008258532956678951,0.0,0.47282119647298904,0.14867914345885236,0.24423037969774958,0.7214025891878846,0.2574804368155041
Hany Mukhtar,0.010215130490307546,0.18475436594071068,0.0,0.0,0.4523802035281518,0.19055196238504357,0.6390639211271142,0.4702623791554903,0.30863275251762273
Jack Price,0.050607545829880626,0.0009223544107567919,0.07385705685191214,0.0,0.4024761035037198,0.19195739619937252,0.02340304225457214,0.8008370909742125,0.38892255810971227
Yimmi Chará,0.007170114059896858,0.13062349199830572,0.00880135490759098,0.06763274323834824,0.48712696692394236,0.17895476043462244,0.3194085155319913,0.5415311794266512,0.5600349406278861
Gustavo Bou,0.0072854592221788805,0.12532039111164614,0.0,0.0,0.3113126114747481,0.013350743141114285,0.6849440351886021,0.06330481777011365,0.6434221832953434
Lewis Morgan,0.02068304794071507,0.192207888073076,0.02480219265229987,0.0,0.41729789221909896,0.15278690660440192,0.1931550326759554,0.15512402490857355,0.8385460578274028
Mauricio Pereyra,0.0075785623520871785,0.07036905717184808,0.0,0.10925189970583622,0.397695705476677,0.2564630322048613,0.13860407926653462,0.7976832124221365,0.32188511053535873
Jesus Ferreira,0.020822859225725514,0.084995845285025,0.0,0.0,0.4122952158008599,0.5166451804069786,0.3502826691634305,0.5202002281151805,0.4026491050040588
Víctor Vázquez,0.022016560357094657,0.06860066045596676,0.0,0.16168077837984343,0.2526620023893122,0.06709437973482542,0.17724861976650894,0.7642576999745921,0.5336870786655525
Diego Fagúndez,0.00833924519193104,0.18603374771937933,0.03159491885518459,0.042741996813318014,0.5344246089563327,0.12408925211528819,0.3379037651796555,0.5285716840640329,0.5176118233237332
Kai Wagner,0.03815685087431876,0.026696518035998845,0.13460866164922167,0.0,0.2905068098057488,0.36250577987966814,0.03419919929450985,0.4497845427552937,0.7486197243871281
José Cifuentes,0.0,0.19159080913116333,0.03974368918147418,0.014687225745791439,0.4289432644321917,0.5147486126074281,0.28910186017588335,0.46925659143503884,0.45689998247012464
Ezequiel Barco,0.0,0.3506634670837659,0.0,0.11429225256745934,0.45728504524665176,0.06999972942562942,0.15571054105603674,0.7743666888759233,0.16147228150159457
Daniel Lovitz,0.0537807963409318,0.090564488418013,0.1645855312951001,0.0,0.39494845401001055,0.23861307590472397,0.0006232920912531553,0.5004481045450209,0.7060085885578746
Jamiro Monteiro,0.011370352639844802,0.14462996622763072,0.0,0.015545293916934877,0.40600424032995425,0.6371509931361232,0.1463582598063649,0.5507907773185937,0.28830397148471026
Cristian Espinoza,0.017372705917153817,0.2584289883283273,0.025571504571590475,0.005074016704934703,0.39602883852475734,0.31973804384740356,0.2863463778962803,0.2916602152286487,0.7114083304832486
Jesús Medina,0.004892404514832622,0.1566855215173424,0.0,0.023398175700293546,0.41995475741771626,0.32151885255063856,0.5023896010517186,0.4443171625970276,0.49530678781172494
Javier Eduardo López,0.016428360375768645,0.25499668616430987,0.0,0.1270993476466539,0.5782537522060655,0.14481018942707022,0.440041255358366,0.5448775517290818,0.2695872941190602
Damir Kreilach,0.0,0.0002535405788046498,0.10154654616998739,0.0,0.6469140482923353,0.08211491956372799,0.6491076245291603,0.3423751146715497,0.16089176926412277
Eduard Atuesta,0.008694559285474166,0.1392363307239975,0.049905321297403056,0.06641834601745095,0.30150990710264736,0.385207124164246,0.043765952604472684,0.806865767030187,0.2852983243261928
Žan Kolmanič,0.025066871141742386,0.09995636009942267,0.15372822751193527,0.08699050385885482,0.3572205605756675,0.16048692635727055,0.0,0.4174798283111804,0.7940583560891026
Johnny Russell,0.02154097339915777,0.2604830236100604,0.019859104112934314,0.0,0.34940529591801184,0.07873290802744218,0.5908216172713714,0.14926999114455625,0.6570049859372024
Sean Davis,0.015687998442588582,0.0,0.1367581292247922,0.0,0.5231919142945054,0.7196967468062242,0.0,0.2975417616078525,0.317532383149317
Aaron Herrera,0.03267140067384016,0.1460031713619557,0.21993100800996146,0.0,0.3499567552256854,0.3783660926173089,0.0,0.3886188887653069,0.7159544217128775
Ryan Gauld,0.024705932605285523,0.1471145626046908,0.0,0.15845838804250464,0.12727833514999096,0.3950752638814719,0.5175543056973597,0.3180555020539152,0.6413515893490033
Nani,0.0117201070006027,0.2204039363490222,0.053755728375820225,0.08953014315795937,0.3216532083173157,0.011383492549145858,0.41837526621098764,0.5460908069259947,0.6029394795143315
