,First Name,Last Name,Club,Position(s),Base Salary,Guaranteed Compensation,name
0,Ilsinho,,Philadelphia Union,M,"$450,000.00","$501,250.00",Ilsinho 
1,Judson,,San Jose Earthquakes,M,"$360,000.00","$365,000.00",Judson 
2,Auro,,Toronto FC,D,"$360,000.00","$388,750.00",Auro 
3,Paxten,Aaronson,Philadelphia Union,M,"$87,500.00","$91,500.00",Paxten Aaronson
4,Saad,Abdul-Salaam,Columbus Crew,D,"$125,000.00","$133,667.00",Saad Abdul-Salaam
5,Luciano,Abecasis,San Jose Earthquakes,D,"$380,000.00","$394,000.00",Luciano Abecasis
6,Ramon,Abila,DC United,F,"$800,000.00","$1,105,000.00",Ramon Abila
7,Lalas,Abubakar,Colorado Rapids,D,"$210,000.00","$247,125.00",Lalas Abubakar
8,David,Accam,Nashville SC,F,"$975,000.00","$1,102,916.00",David Accam
9,Nicolas,Acevedo,New York City FC,D-M,"$135,000.00","$151,000.00",Nicolas Acevedo
10,Ifunanyachi,Achara,Toronto FC,M,"$66,724.00","$66,724.00",Ifunanyachi Achara
11,Kellyn,Acosta,Colorado Rapids,M,"$1,000,000.00","$1,115,000.00",Kellyn Acosta
12,Luciano,Acosta,FC Cincinnati,M,"$1,943,500.00","$2,222,854.00",Luciano Acosta
13,Bryan,Acosta,FC Dallas,M,"$650,000.00","$700,000.00",Bryan Acosta
14,George,Acosta,Inter Miami,M,"$81,375.00","$81,375.00",George Acosta
15,Danilo,Acosta,LA Galaxy,D,"$135,000.00","$135,000.00",Danilo Acosta
16,"Mohammed ""Mo""",Adams,Atlanta United,M,"$121,000.00","$141,000.00","Mohammed ""Mo"" Adams"
17,Fanendo,Adi,Minnesota United,F,"$81,375.00","$83,875.00",Fanendo Adi
18,Harrison,Afful,Columbus Crew,D,"$335,000.00","$365,000.00",Harrison Afful
19,Juan,Agudelo,Minnesota United,F,"$200,000.00","$212,500.00",Juan Agudelo
20,Raul,Aguilera,Orlando City SC,M,"$63,547.00","$63,547.00",Raul Aguilera
21,Daniel,Aguirre,LA Galaxy,M-F,"$63,547.00","$63,547.00",Daniel Aguirre
22,Matheus,Aias,Orlando City SC,F,"$252,000.00","$267,500.00",Matheus Aias
23,Jacob,Akanyirige,San Jose Earthquakes,D,"$105,000.00","$107,000.00",Jacob Akanyirige
24,Tesho,Akindele,Orlando City SC,F,"$275,000.00","$290,000.00",Tesho Akindele
25,Ayo,Akinola,Toronto FC,F,"$89,513.00","$157,513.00",Ayo Akinola
26,Oswaldo,Alanis,San Jose Earthquakes,D,"$630,000.00","$730,000.00",Oswaldo Alanis
27,Antonio,Alfaro,DC United,D,"$81,375.00","$81,375.00",Antonio Alfaro
28,Ignacio,Aliseda,Chicago Fire,M,"$600,000.00","$821,501.00",Ignacio Aliseda
29,Osvaldo,Alonso,Minnesota United,M,"$300,000.00","$322,000.00",Osvaldo Alonso
30,Jozy,Altidore,Toronto FC,F,"$2,161,250.00","$3,602,250.00",Jozy Altidore
31,Ventura,Alvarado,Inter Miami,D,"$81,375.00","$124,708.00",Ventura Alvarado
32,Alexander,Alvarado,Orlando City SC,F,"$220,000.00","$238,240.00",Alexander Alvarado
33,Matheus,Alvarenga de Oliveira,Philadelphia Union,M-F,"$240,000.00","$253,000.00",Matheus Alvarenga de Oliveira
34,Efrain,Alvarez,LA Galaxy,M,"$500,000.00","$612,167.00",Efrain Alvarez
35,Frankie,Amaya,New York Red Bulls,M,"$150,000.00","$187,000.00",Frankie Amaya
36,Mikey,Ambrose,Atlanta United,D,"$81,375.00","$81,375.00",Mikey Ambrose
37,Malte,Amundsen,New York City FC,D,"$240,000.00","$278,700.00",Malte Amundsen
38,Sebastian,Anderson,Colorado Rapids,D,"$90,000.00","$91,667.00",Sebastian Anderson
39,Jalil,Anibaba,Nashville SC,D,"$200,000.00","$200,000.00",Jalil Anibaba
40,Tah Brian,Anunga,Nashville SC,M,"$81,375.00","$81,375.00",Tah Brian Anunga
41,Cristian,Arango,LAFC,M-F,"$600,000.00","$659,000.00",Cristian Arango
42,Luiz,Araujo,Atlanta United,F-M,"$3,600,000.00","$3,941,667.00",Luiz Araujo
43,Julian,Araujo,LA Galaxy,D,"$550,000.00","$653,750.00",Julian Araujo
44,Heber,Araujo dos Santos,New York City FC,F,"$785,000.00","$788,750.00",Heber Araujo dos Santos
45,Adam,Armour,Charlotte FC,D,"$63,547.00","$63,547.00",Adam Armour
46,Xavier,Arreaga,Seattle Sounders FC,D,"$393,600.00","$500,850.00",Xavier Arreaga
47,Paul,Arriola,DC United,M,"$1,000,000.00","$1,050,000.00",Paul Arriola
48,Yamil,Asad,DC United,M-F,"$475,000.00","$542,667.00",Yamil Asad
49,George,Asomani,San Jose Earthquakes,M,"$63,547.00","$63,547.00",George Asomani
50,Dairon,Asprilla,Portland Timbers,M-F,"$275,000.00","$277,500.00",Dairon Asprilla
51,Isaac,Atanga,FC Cincinnati,F,"$259,000.00","$273,000.00",Isaac Atanga
52,Joshua,Atencio,Seattle Sounders FC,M,"$63,547.00","$68,161.00",Joshua Atencio
53,Jeff,Attinella,Portland Timbers,GK,"$108,000.00","$114,125.00",Jeff Attinella
54,Eduard,Atuesta,LAFC,M,"$550,000.00","$1,278,000.00",Eduard Atuesta
55,Edison,Azcona,Inter Miami,M,"$63,547.00","$63,547.00",Edison Azcona
56,Dominique,Badji,Colorado Rapids,F,"$300,000.00","$306,250.00",Dominique Badji
57,Zico,Bailey,FC Cincinnati,D,"$66,724.00","$66,724.00",Zico Bailey
58,Thelonius,Bair,Vancouver Whitecaps,F,"$81,375.00","$81,375.00",Thelonius Bair
59,Corey,Baird,Houston Dynamo,F,"$365,000.00","$396,031.00",Corey Baird
60,Mateo,Bajamich,Houston Dynamo,F,"$264,000.00","$324,069.00",Mateo Bajamich
61,Reed,Baker-Whiting,Seattle Sounders FC,M,"$63,547.00","$83,547.00",Reed Baker-Whiting
62,Michael,Baldisimo,Vancouver Whitecaps,M,"$89,513.00","$91,275.00",Michael Baldisimo
63,Grayson,Banks Barber,Sporting Kansas City,F,"$63,547.00","$67,297.00",Grayson Banks Barber
64,Ezequiel,Barco,Atlanta United,M,"$1,875,000.00","$2,358,333.00",Ezequiel Barco
65,Tom,Barlow,New York Red Bulls,F,"$81,375.00","$94,526.00",Tom Barlow
66,Luis,Barraza,New York City FC,GK,"$81,375.00","$81,375.00",Luis Barraza
67,Alvaro,Barreal,FC Cincinnati,F,"$300,000.00","$300,000.00",Alvaro Barreal
68,Michael,Barrios,Colorado Rapids,M,"$650,000.00","$650,000.00",Michael Barrios
69,Ethan,Bartlow,Houston Dynamo,D,"$81,375.00","$88,875.00",Ethan Bartlow
70,Cole,Bassett,Colorado Rapids,M,"$110,000.00","$119,000.00",Cole Bassett
71,Zorhan,Bassong,Montreal,D,"$81,375.00","$93,875.00",Zorhan Bassong
72,Josh,Bauer,Atlanta United,D,"$63,547.00","$63,547.00",Josh Bauer
73,Clement,Bayiha,Montreal,M-D,"$85,500.00","$90,875.00",Clement Bayiha
74,Tanner,Beason,San Jose Earthquakes,D,"$90,000.00","$110,000.00",Tanner Beason
75,Alejandro,Bedoya,Philadelphia Union,M,"$810,000.00","$1,023,333.00",Alejandro Bedoya
76,Steven,Beitashour,Colorado Rapids,D,"$150,000.00","$165,000.00",Steven Beitashour
77,Jon,Bell,New England Revolution,D,"$63,547.00","$63,547.00",Jon Bell
78,George,Bello,Atlanta United,D,"$135,000.00","$139,000.00",George Bello
79,Jordan,Bender,Orlando City SC,M,"$63,547.00","$63,547.00",Jordan Bender
80,Joe,Bendik,Philadelphia Union,GK,"$200,000.00","$200,000.00",Joe Bendik
81,Nicolas,Benezet,Seattle Sounders FC,M,"$650,000.00","$650,000.00",Nicolas Benezet
82,Sebastian,Berhalter,Austin FC,M,"$85,000.00","$122,250.00",Sebastian Berhalter
83,Robert,Beric,Chicago Fire,F,"$2,274,996.00","$2,703,164.00",Robert Beric
84,Miguel,Berry,Columbus Crew,F,"$85,444.00","$85,444.00",Miguel Berry
85,Matt,Bersano,San Jose Earthquakes,GK,"$106,375.00","$106,375.00",Matt Bersano
86,Matt,Besler,Austin FC,D,"$650,000.00","$650,000.00",Matt Besler
87,Nick,Besler,Real Salt Lake,M,"$167,500.00","$167,500.00",Nick Besler
88,Janio,Bikel,Vancouver Whitecaps,M,"$350,000.00","$388,750.00",Janio Bikel
89,Noah,Billingsley,Minnesota United,D,"$66,724.00","$66,724.00",Noah Billingsley
90,David,Bingham,Portland Timbers,GK,"$81,375.00","$81,375.00",David Bingham
91,Steven,Birnbaum,DC United,D,"$700,000.00","$712,500.00",Steven Birnbaum
92,Jose,Bizama,Houston Dynamo,D,"$225,000.00","$250,000.00",Jose Bizama
93,Tyler,Blackett,FC Cincinnati,D,"$398,400.00","$398,400.00",Tyler Blackett
94,Jamal,Blackman,LAFC,GK,"$360,000.00","$409,333.00",Jamal Blackman
95,Tristan,Blackmon,LAFC,D,"$193,000.00","$203,000.00",Tristan Blackmon
96,Andre,Blake,Philadelphia Union,GK,"$600,000.00","$650,000.00",Andre Blake
97,Sebastian,Blanco,Portland Timbers,M-F,"$2,200,000.00","$2,313,333.00",Sebastian Blanco
98,Latif,Blessing,LAFC,M,"$360,000.00","$376,667.00",Latif Blessing
99,Emmanuel,Boateng,New England Revolution,M,"$200,000.00","$200,000.00",Emmanuel Boateng
100,Blake,Bodily,Portland Timbers,M,"$67,360.00","$67,360.00",Blake Bodily
101,Isaac,Boehmer,Vancouver Whitecaps,GK,"$66,724.00","$66,724.00",Isaac Boehmer
102,Jovanny,Bolivar,DC United,F,"$81,375.00","$81,375.00",Jovanny Bolivar
103,Jonathan,Bond,LA Galaxy,GK,"$450,000.00","$501,875.00",Jonathan Bond
